iter	Passed	Remaining
0	6	6029
1	12	6068
2	17	5927
3	23	5958
4	29	5878
5	35	5847
6	40	5787
7	46	5747
8	52	5752
9	57	5718
10	63	5689
11	68	5680
12	74	5677
13	80	5652
14	85	5638
15	91	5634
16	97	5629
17	103	5641
18	110	5683
19	115	5668
20	121	5661
21	127	5656
22	133	5675
23	139	5657
24	144	5643
25	150	5622
26	155	5605
27	161	5592
28	166	5572
29	172	5565
30	177	5559
31	183	5548
32	188	5533
33	194	5525
34	201	5545
35	206	5541
36	212	5538
37	218	5526
38	223	5517
39	229	5506
40	235	5508
41	241	5501
42	246	5495
43	252	5483
44	257	5469
45	263	5459
46	268	5448
47	274	5436
48	280	5446
49	286	5438
50	291	5428
51	297	5419
52	302	5409
53	308	5398
54	313	5388
55	319	5379
56	324	5368
57	333	5411
58	338	5403
59	344	5395
60	349	5384
61	355	5377
62	360	5368
63	366	5359
64	372	5352
65	377	5343
66	383	5334
67	388	5324
68	393	5314
69	399	5305
70	406	5321
71	412	5312
72	417	5305
73	423	5299
74	429	5294
75	437	5318
76	443	5311
77	448	5304
78	454	5293
79	459	5284
80	464	5274
81	470	5266
82	475	5254
83	481	5247
84	486	5240
85	492	5231
86	497	5224
87	503	5219
88	509	5211
89	514	5203
90	520	5196
91	525	5187
92	531	5181
93	536	5174
94	542	5164
95	547	5156
96	552	5148
97	558	5140
98	563	5132
99	569	5125
100	574	5117
101	580	5110
102	586	5104
103	591	5097
104	597	5090
105	602	5085
106	608	5077
107	613	5069
108	619	5061
109	624	5054
110	630	5051
111	636	5045
112	641	5038
113	647	5030
114	652	5024
115	658	5016
116	663	5008
117	669	5000
118	674	4995
119	681	4997
120	686	4989
121	692	4984
122	698	4978
123	703	4973
124	709	4966
125	714	4959
126	720	4954
127	726	4950
128	732	4947
129	738	4942
130	744	4935
131	749	4928
132	755	4922
133	763	4936
134	770	4939
135	778	4946
136	784	4943
137	791	4944
138	797	4937
139	802	4931
140	808	4925
141	813	4918
142	819	4911
143	824	4903
144	831	4903
145	836	4895
146	842	4888
147	850	4893
148	855	4887
149	861	4879
150	866	4871
151	871	4863
152	877	4855
153	882	4848
154	887	4840
155	893	4833
156	898	4826
157	906	4830
158	915	4842
159	922	4845
160	932	4859
161	939	4860
162	945	4853
163	950	4846
164	956	4838
165	961	4829
